current_age,retirement_age,birth_month,gender,yearly_income,total_debt,credit_score,num_credit_cards,Credit_limit,Debit_limit,Debit (Prepaid)_limit,Credit_expires,Debit_expires,Debit (Prepaid)_expires,has_chip,Automotive & Transportation Services,Clothing & Fashion,Digital Goods & Computers,Electronics & Appliances,Freight & Trucking,Hotels & Accommodation,Legal & Financial Services,Machinery & Tools,Medical & Healthcare Services,Movies & Theaters,Postal Services - Government Only,Rail & Bus Transport,Restaurants & Eating Places,Retail Stores,Sports & Recreational Activities,Steel & Metal Products,Telecommunications & Media,Utilities & Home Services
33,69,3,1,59613.0,36199.0,763,4,17600.0,88056.0,0.0,2019.0,2021.0,0.0,1,5605.5,1915.53,664.27,568.06,284.24,1844.99,46.14,3107.03,3140.13,808.03,296.44,1415.7,12778.17,13124.77,693.76,1237.1100000000001,6265.45,6035.36
43,74,4,0,45360.0,14587.0,704,3,23700.0,18105.0,0.0,2021.0,2017.0,0.0,0,3111.27,1921.15,0.0,513.0799999999999,0.0,0.0,176.38,1127.58,2280.52,507.43,0.0,8470.32,2655.97,3373.12,0.0,299.26,6291.66,3002.74
48,64,8,1,27447.0,80850.0,673,5,15200.0,35161.0,0.0,2020.0,2024.0,0.0,0,2622.32,408.42,64.42,1.45,1505.29,0.0,2749.38,1115.31,2655.42,873.73,1618.69,660.48,0.0,8383.81,816.51,0.0,2755.43,2372.5099999999998
49,65,12,1,27943.0,18693.0,681,4,0.0,13515.0,207.0,0.0,2023.0,2023.0,0,3713.1,303.74,472.75,0.0,0.0,222.86,1453.58,367.59000000000003,4924.26,72.39,0.0,1048.72,319.42,12492.86,6.76,980.88,662.8199999999999,1860.7
54,72,3,0,76431.0,115362.0,716,5,19300.0,116902.0,0.0,2014.0,2023.0,0.0,1,4640.46,1884.95,49.01,727.39,23.93,0.0,3710.6600000000003,821.71,4847.2,2037.63,22.68,281.7,19519.36,7662.54,1075.61,245.37,8251.47,3114.92
65,65,2,1,20614.0,14042.0,711,2,0.0,31180.0,0.0,0.0,2024.0,0.0,0,2479.13,509.9,38.06,344.14,0.0,0.0,888.7,430.47999999999996,4236.32,625.15,0.0,571.57,905.85,2751.48,87.94,1.91,5767.95,6020.5
19,63,6,0,55854.0,111042.0,782,1,14600.0,0.0,0.0,2020.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,
74,61,5,1,32682.0,21379.0,650,3,0.0,34142.0,25.0,0.0,2023.0,2022.0,0,,,,,,,,,,,,,,,,,,
21,69,8,1,38497.0,33413.0,699,2,25700.0,0.0,0.0,2022.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,
29,60,12,1,40988.0,89801.0,540,3,7600.0,16719.0,0.0,2022.0,2024.0,0.0,0,,,,,,,,,,,,,,,,,,
30,66,2,1,58865.0,94134.0,727,2,0.0,68992.0,0.0,0.0,2022.0,0.0,1,,,,,,,,,,,,,,,,,,
39,67,10,0,67643.0,0.0,714,6,52700.0,68220.0,30.0,2024.0,2024.0,2020.0,1,4609.65,935.47,0.0,472.71000000000004,0.0,1370.75,0.0,457.4,2529.71,990.16,0.0,543.27,18102.8,10697.0,8898.17,177.26999999999998,4324.02,1818.35
18,63,2,0,37785.0,58187.0,748,1,0.0,10058.0,0.0,0.0,2020.0,0.0,1,,,,,,,,,,,,,,,,,,
52,61,6,0,32378.0,65919.0,588,4,13900.0,10629.0,64.0,2022.0,2020.0,2023.0,0,2155.98,1389.59,0.0,665.3,240.22,704.94,0.0,1542.8000000000002,2991.46,397.3,183.21,672.98,1860.3,4410.5,528.5600000000001,543.8199999999999,5439.25,1381.07
79,57,12,0,32232.0,21134.0,652,5,19500.0,20363.0,22.0,2024.0,2022.0,2020.0,0,1434.95,534.61,362.22,232.22,0.84,0.0,1826.12,722.38,3265.62,439.34,0.0,328.49,144.6,4304.49,186.95999999999998,107.0,2818.61,5320.22
52,66,2,0,29673.0,12950.0,788,3,7100.0,13971.0,0.0,2020.0,2021.0,0.0,1,,,,,,,,,,,,,,,,,,
75,67,12,1,22158.0,19101.0,681,5,9500.0,26348.0,22.0,2010.0,2024.0,2020.0,0,3030.21,1542.4199999999998,0.0,1123.63,320.81,635.5899999999999,0.0,940.73,2669.84,7955.11,0.0,2997.41,3327.72,4337.05,76.2,1008.3799999999999,3983.22,4216.58
76,65,7,1,21867.0,21103.0,759,2,2800.0,7175.0,0.0,2024.0,2022.0,0.0,1,8062.25,644.04,0.0,311.79,121.06,205.66999999999996,0.0,1652.95,13222.43,2263.2,80.39,331.5,10616.96,33414.53,1536.79,188.79999999999998,0.0,6382.4
30,62,12,1,64340.0,94513.0,637,1,0.0,0.0,62.0,0.0,0.0,2024.0,1,,,,,,,,,,,,,,,,,,
82,68,5,0,34903.0,1336.0,630,1,0.0,0.0,55.0,0.0,0.0,2023.0,1,886.91,246.98000000000002,0.0,12.37,0.0,0.0,49.51,59.660000000000004,1125.83,505.77,0.0,125.87,613.58,1588.54,40.42,0.0,0.0,28.72
86,67,12,0,23371.0,0.0,757,8,38400.0,74690.0,0.0,2022.0,2024.0,0.0,1,4232.09,783.67,471.98,781.25,0.0,442.81999999999994,2608.31,718.54,3093.27,980.74,16.78,155.01,572.13,7363.2300000000005,67.94,1631.71,2720.91,1915.46
48,66,2,1,43084.0,0.0,850,3,0.0,34514.0,58.0,0.0,2021.0,2023.0,1,3794.69,883.86,121.54,754.03,283.53999999999996,1770.5,111.29,946.69,3940.98,321.40999999999997,0.0,281.45,765.64,5588.13,349.93,2031.55,7247.14,3993.73
56,66,3,1,53966.0,135478.0,747,1,13600.0,0.0,0.0,2022.0,0.0,0.0,1,4047.39,413.71000000000004,794.71,121.21,50.1,0.0,308.39,2285.68,1679.99,270.48,12.38,10797.33,1522.93,8945.63,62.0,1273.78,6155.44,2782.2
18,70,5,0,63600.0,102773.0,645,1,0.0,0.0,74.0,0.0,0.0,2020.0,1,,,,,,,,,,,,,,,,,,
48,64,11,0,38554.0,47186.0,708,1,0.0,8165.0,0.0,0.0,2020.0,0.0,1,1632.53,389.03000000000003,34.79,192.34,0.0,0.0,2416.26,1188.3899999999999,2767.58,923.81,0.0,149.81,1923.44,11530.64,962.79,0.0,6962.52,1856.71
22,64,3,0,49190.0,122458.0,630,1,4000.0,0.0,0.0,2020.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,
49,68,12,0,41071.0,124139.0,685,1,3900.0,0.0,0.0,2017.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,
78,63,8,0,23821.0,22427.0,613,8,30000.0,53461.0,61.0,2023.0,2022.0,2024.0,0,1380.71,1795.65,83.18,268.74,49.06999999999999,660.81,3895.27,2333.99,3036.66,2027.35,90.9,271.93,272.38,9853.86,868.52,551.25,5286.99,4752.56
39,65,4,0,54273.0,110237.0,789,4,16400.0,61044.0,0.0,2024.0,2024.0,0.0,0,2032.3,5199.89,328.57,0.0,414.21999999999997,250.46,879.56,740.15,2779.21,1007.1700000000001,0.0,4218.0,3753.82,4369.32,10141.76,229.28,2152.76,2475.51
68,60,8,0,27358.0,13557.0,665,2,2700.0,16113.0,0.0,2021.0,2022.0,0.0,1,,,,,,,,,,,,,,,,,,
23,59,8,0,38983.0,96098.0,577,1,0.0,8998.0,0.0,0.0,2020.0,0.0,1,,,,,,,,,,,,,,,,,,
51,65,6,0,45570.0,0.0,712,3,11500.0,41137.0,0.0,2023.0,2020.0,0.0,1,,,,,,,,,,,,,,,,,,
82,67,9,0,52315.0,3174.0,695,4,11600.0,39974.0,0.0,2012.0,2023.0,0.0,0,2464.06,145.64000000000001,0.0,246.96,340.72,583.73,398.55,198.97,6209.55,1282.23,407.7,8195.72,38.49,3205.53,158.23,0.0,3125.94,1834.18
77,71,6,0,38692.0,8902.0,596,5,16400.0,30002.0,0.0,2020.0,2024.0,0.0,1,4637.2,1151.08,418.56000000000006,741.93,240.22,1562.3,1219.12,871.02,8476.29,791.55,183.25,146.55,0.0,23895.28,92.65,722.19,2957.54,3842.54
41,55,8,1,51854.0,72162.0,737,2,0.0,10775.0,105.0,0.0,2023.0,2020.0,1,4811.06,1071.83,122.7,644.89,59.89,577.19,2196.31,3971.29,3840.9,812.3199999999999,137.03,0.0,12809.16,12366.54,195.34,1863.46,18992.97,3818.55
20,64,6,1,48495.0,97630.0,773,3,0.0,51521.0,0.0,0.0,2024.0,0.0,0,,,,,,,,,,,,,,,,,,
31,63,6,1,50242.0,84457.0,722,2,0.0,27531.0,0.0,0.0,2021.0,0.0,0,,,,,,,,,,,,,,,,,,
41,60,7,0,34690.0,48954.0,683,4,0.0,47510.0,0.0,2024.0,2022.0,0.0,1,5968.41,2420.9700000000003,178.18,247.85999999999996,223.57999999999998,3110.01,3210.84,2882.02,3137.47,1009.29,9.6,890.27,371.0,12183.11,312.62,1470.69,2011.84,3599.79
45,64,12,0,40006.0,72794.0,621,1,0.0,3711.0,0.0,0.0,2024.0,0.0,1,4123.99,177.42,73.78,34.65,294.38000000000005,221.6,227.25,240.73000000000002,3714.21,185.68,29.689999999999998,22267.79,971.0699999999999,6302.3,2067.77,329.28000000000003,2672.29,4020.89
54,67,5,0,61740.0,126015.0,583,2,16900.0,1325.0,0.0,2023.0,2012.0,0.0,1,8885.59,1261.11,235.76999999999998,456.65999999999997,13.49,1789.81,127.38,792.76,6294.08,669.89,0.0,17290.33,16970.64,22287.57,126.69,0.0,5303.62,5658.54
71,74,6,1,29243.0,30686.0,726,4,8200.0,1604.0,58.0,2023.0,2021.0,2021.0,1,1097.68,163.65,185.35,100.63,0.0,0.0,0.0,632.0,2487.64,328.99,0.0,0.0,1649.55,3501.24,43.86,46.43,4860.0,1750.18
38,70,3,1,27183.0,58323.0,637,1,0.0,0.0,83.0,0.0,0.0,2021.0,1,,,,,,,,,,,,,,,,,,
78,66,11,0,8526.0,3723.0,684,3,11900.0,10776.0,0.0,2021.0,2020.0,0.0,1,1376.29,385.89,158.14,154.19,344.23,927.01,977.32,691.69,1462.91,439.67,0.0,0.0,8009.97,2532.2599999999998,0.0,68.95999999999998,4461.67,2980.4
26,66,8,0,61104.0,79486.0,721,4,48600.0,35702.0,0.0,2024.0,2023.0,0.0,0,,,,,,,,,,,,,,,,,,
85,67,12,1,38194.0,1674.0,680,3,3400.0,29722.0,0.0,2022.0,2020.0,0.0,1,2707.91,727.54,106.82000000000001,131.36,11.18,249.65999999999997,0.0,568.55,2317.0,574.91,0.0,2493.71,77.02,4497.34,96.18,1260.8899999999999,18111.28,1145.38
61,67,1,0,63781.0,111808.0,654,1,0.0,0.0,44.0,0.0,0.0,2023.0,1,2190.11,78.15,0.0,26.46,17.97,0.0,0.0,169.63,542.99,35.74,0.0,1207.35,1105.01,3251.9,70.56,59.620000000000005,151.36,107.89000000000001
62,66,6,1,53996.0,98211.0,632,4,0.0,32228.0,165.0,0.0,2022.0,2023.0,1,5625.41,562.15,0.0,631.86,337.96,867.39,1299.1499999999999,1227.44,4794.0,311.89,241.94,2586.21,2535.78,8225.11,18.78,1478.31,5121.27,3627.36
47,62,9,1,25434.0,45540.0,712,4,10500.0,12527.0,100.0,2021.0,2024.0,2021.0,1,5185.13,1096.79,0.0,9.12,0.0,0.0,51.040000000000006,206.35,5716.27,1027.4,0.0,176.61,1812.11,13708.39,50.15,0.0,3448.94,560.46
69,63,4,1,16542.0,36831.0,733,3,0.0,25117.0,79.0,0.0,2024.0,2021.0,1,2953.48,750.09,73.82,24.260000000000037,0.0,656.77,2550.84,537.16,5672.6,177.41,0.0,168.62000000000006,518.74,5642.03,91.02000000000001,852.42,3236.01,3692.36
38,74,6,1,38663.0,59053.0,686,3,0.0,49313.0,0.0,0.0,2024.0,0.0,1,,,,,,,,,,,,,,,,,,
68,72,7,0,39238.0,85457.0,702,4,12700.0,64867.0,0.0,2023.0,2021.0,0.0,0,2108.2,1115.34,183.07,79.28,145.76,261.98,0.0,752.22,3002.44,192.21,75.24,293.08000000000004,2623.7400000000002,5872.14,197.94,599.5699999999999,2027.59,4579.39
