current_age,retirement_age,birth_month,gender,yearly_income,total_debt,credit_score,Credit_limit,Debit_limit,Debit (Prepaid)_limit,Credit_expires,Debit_expires,Debit (Prepaid)_expires,has_chip,num_credit_cards,Automotive & Transportation Services,Clothing & Fashion,Digital Goods & Computers,Electronics & Appliances,Freight & Trucking,Hotels & Accommodation,Legal & Financial Services,Machinery & Tools,Medical & Healthcare Services,Movies & Theaters,Postal Services - Government Only,Rail & Bus Transport,Restaurants & Eating Places,Retail Stores,Sports & Recreational Activities,Steel & Metal Products,Telecommunications & Media,Utilities & Home Services,Label_Rewards_Credit_Card,Label_Insurance_Solutions,Label_Digital_Financing,Label_Home_Improvement_Loan,Label_Auto_Vehicle_Financing,Label_Commodity_Investment_Services,Label_Travel_Rewards_Card,Label_Savings_Investment_Plans,Label_Wealth_Management_Savings,Label_Card_Upgrade,Label_Retention_Efforts
33.0,69.0,3.0,1.0,59613.0,36199.0,763.0,17600.0,88056.0,0.0,2019.0,2021.0,0.0,1.0,4.0,5605.5,1915.53,664.27,568.06,284.24,1844.99,46.14,3107.03,3140.13,808.03,296.44,1415.7,12778.17,13124.77,693.76,1237.11,6265.45,6035.36,3,3,3,3,3,2,3,1,1,1,0
43.0,74.0,4.0,0.0,45360.0,14587.0,704.0,23700.0,18105.0,0.0,2021.0,2017.0,0.0,0.0,3.0,3111.27,1921.15,0.0,513.08,0.0,0.0,176.38,1127.58,2280.52,507.43,0.0,8470.32,2655.97,3373.12,0.0,299.26,6291.66,3002.74,2,1,1,1,1,1,3,1,0,2,0
48.0,64.0,8.0,1.0,27447.0,80850.0,673.0,15200.0,35161.0,0.0,2020.0,2024.0,0.0,0.0,5.0,2622.32,408.42,64.42,1.45,1505.29,0.0,2749.38,1115.31,2655.42,873.73,1618.69,660.48,0.0,8383.81,816.51,0.0,2755.43,2372.51,1,1,0,0,0,0,1,1,1,2,1
49.0,65.0,12.0,1.0,27943.0,18693.0,681.0,0.0,13515.0,206.99999999999997,0.0,2023.0,2023.0,0.0,4.0,3713.1,303.74,472.75,0.0,0.0,222.86,1453.58,367.59,4924.26,72.39,0.0,1048.72,319.42,12492.86,6.76,980.88,662.82,1860.7,2,0,1,0,0,0,1,1,0,2,1
54.0,72.0,3.0,0.0,76431.0,115362.0,716.0,19300.0,116902.0,0.0,2014.0,2023.0,0.0,1.0,5.0,4640.46,1884.95,49.01,727.39,23.93,0.0,3710.66,821.71,4847.2,2037.63,22.68,281.7,19519.36,7662.54,1075.61,245.37,8251.47,3114.92,2,2,2,1,1,1,2,1,1,2,1
65.0,65.0,2.0,1.0,20614.000000000004,14042.0,711.0,0.0,31180.0,0.0,0.0,2024.0,0.0,0.0,2.0,2479.13,509.9,38.06,344.14,0.0,0.0,888.7,430.48,4236.32,625.15,0.0,571.57,905.85,2751.48,87.94,1.91,5767.95,6020.5,0,0,0,1,0,0,0,2,0,2,2
19.0,63.0,6.0,0.0,55854.0,111042.0,782.0,14600.0,0.0,0.0,2020.0,2.2737367544323206e-13,0.0,1.0,1.0,2710.66,1414.43,161.14,424.99,94.4,575.38,346.27,870.64,3271.84,339.19,1.92,6468.34,2702.48,8151.06,3864.34,467.72,5832.02,2958.12,2,1,2,2,2,0,2,0,1,0,2
74.0,61.0,5.0,1.0,32682.0,21379.0,650.0,0.0,34142.0,25.0,0.0,2023.0,2022.0,0.0,3.0,3492.31,600.71,26.73,229.23,99.98,577.57,678.62,1279.74,4676.63,807.53,42.49,276.44,2577.62,8674.78,614.68,617.51,4664.53,3920.98,1,0,0,1,0,0,1,2,0,2,1
21.0,69.0,8.0,1.0,38497.0,33413.0,699.0,25700.0,0.0,0.0,2022.0,2.2737367544323206e-13,0.0,1.0,2.0,2966.85,1042.56,126.26,388.54,235.91,521.62,1489.72,1347.28,3946.06,627.66,140.14,551.34,3895.98,7288.67,704.81,877.2,6560.04,2387.73,0,1,0,0,0,0,0,0,0,2,3
29.0,60.0,12.0,1.0,40988.0,89801.0,540.0,7600.0,16719.0,0.0,2022.0,2024.0,0.0,0.0,3.0,2156.51,788.94,9.0,187.76,416.16,746.43,415.12,779.86,2783.82,401.72,345.89,4374.94,1118.35,5131.81,197.58,471.5,6837.84,2168.04,1,2,1,1,1,0,3,1,0,2,1
30.0,66.0,2.0,1.0,58865.0,94134.0,727.0,0.0,68992.0,0.0,0.0,2022.0,0.0,1.0,2.0,2942.23,1031.93,98.13,298.08,461.35,606.96,1463.1,1312.49,4226.11,855.01,477.01,455.22,1668.06,8163.41,626.6,492.08,4156.76,2774.16,0,3,1,1,1,1,1,1,0,1,2
39.0,67.0,10.0,0.0,67643.0,0.0,714.0,52700.0,68220.0,30.0,2024.0,2024.0,2020.0,1.0,6.0,4609.65,935.47,0.0,472.71,0.0,1370.75,0.0,457.4,2529.71,990.16,0.0,543.27,18102.8,10697.0,8898.17,177.27,4324.02,1818.35,2,2,1,1,1,2,3,1,1,2,1
18.0,63.0,2.0,0.0,37785.0,58187.0,748.0,0.0,10058.0,0.0,0.0,2020.0,0.0,1.0,1.0,7640.49,898.13,70.61,514.36,82.68,937.92,2426.47,1436.03,4947.8,1422.66,7.8,6688.93,3864.27,13729.55,445.56,1116.86,5371.0,3863.82,1,1,0,1,1,1,1,1,1,0,1
52.0,61.0,6.0,0.0,32378.0,65919.0,588.0,13900.0,10629.0,64.0,2022.0,2020.0,2023.0,0.0,4.0,2155.98,1389.59,0.0,665.3,240.22,704.94,0.0,1542.8,2991.46,397.3,183.21,672.98,1860.3,4410.5,528.56,543.82,5439.25,1381.07,2,1,0,0,0,0,1,1,0,2,1
79.0,57.0,12.0,0.0,32232.0,21134.0,652.0,19500.0,20363.0,22.0,2024.0,2022.0,2020.0,0.0,5.0,1434.95,534.61,362.22,232.22,0.84,0.0,1826.12,722.38,3265.62,439.34,0.0,328.49,144.6,4304.49,186.96,107.0,2818.61,5320.22,1,0,1,1,0,0,1,1,1,3,1
52.0,66.0,2.0,0.0,29673.0,12950.0,788.0,7100.0,13971.0,0.0,2020.0,2021.0,0.0,1.0,3.0,2961.77,978.19,145.06,316.91,89.01,260.29,2133.44,1493.44,2938.94,860.13,36.05,2262.16,2073.47,9049.74,543.4,567.67,4692.03,2955.96,2,0,1,1,1,1,1,3,2,0,0
75.0,67.0,12.0,1.0,22158.0,19101.0,681.0,9500.0,26348.0,22.0,2010.0,2024.0,2020.0,0.0,5.0,3030.21,1542.42,0.0,1123.63,320.81,635.59,0.0,940.73,2669.84,7955.11,0.0,2997.41,3327.72,4337.05,76.2,1008.38,3983.22,4216.58,2,1,0,1,0,0,1,2,0,2,1
76.0,65.0,7.0,1.0,21867.0,21103.0,759.0,2800.0,7175.0,0.0,2024.0,2022.0,0.0,1.0,2.0,8062.25,644.04,0.0,311.79,121.06,205.67,0.0,1652.95,13222.43,2263.2,80.39,331.5,10616.96,33414.53,1536.79,188.8,0.0,6382.4,2,2,1,2,2,0,0,2,1,1,3
30.0,62.0,12.0,1.0,64340.0,94513.0,637.0,0.0,0.0,62.0,0.0,2.2737367544323206e-13,2024.0,1.0,1.0,1601.1,847.75,90.66,216.89,193.85,120.22,121.35,317.81,1882.86,413.44,80.92,6576.52,2414.54,3958.77,92.71,327.61,1825.08,2533.18,0,2,1,1,1,1,2,1,0,1,3
82.0,68.0,5.0,0.0,34903.0,1336.0,630.0,0.0,0.0,55.0,0.0,2.2737367544323206e-13,2023.0,1.0,1.0,886.91,246.98,0.0,12.37,0.0,0.0,49.51,59.66,1125.83,505.77,0.0,125.87,613.58,1588.54,40.42,0.0,0.0,28.72,0,0,0,0,0,1,0,3,0,1,3
86.0,67.0,12.0,0.0,23371.0,0.0,757.0,38400.0,74690.0,0.0,2022.0,2024.0,0.0,1.0,8.0,4232.09,783.67,471.98,781.25,0.0,442.82,2608.31,718.54,3093.27,980.74,16.78,155.01,572.13,7363.23,67.94,1631.71,2720.91,1915.46,2,1,2,1,1,2,1,3,2,2,1
48.0,66.0,2.0,1.0,43084.0,0.0,850.0,0.0,34514.0,58.0,0.0,2021.0,2023.0,1.0,3.0,3794.69,883.86,121.54,754.03,283.54,1770.5,111.29,946.69,3940.98,321.41,0.0,281.45,765.64,5588.13,349.93,2031.55,7247.14,3993.73,2,2,2,3,2,2,3,2,1,1,1
56.0,66.0,3.0,1.0,53966.0,135478.0,747.0,13600.0,0.0,0.0,2022.0,2.2737367544323206e-13,0.0,1.0,1.0,4047.39,413.71,794.71,121.21,50.1,0.0,308.39,2285.68,1679.99,270.48,12.38,10797.33,1522.93,8945.63,62.0,1273.78,6155.44,2782.2,0,2,2,1,1,1,2,1,0,1,3
18.0,70.0,5.0,0.0,63600.0,102773.0,645.0,0.0,0.0,74.0,0.0,2.2737367544323206e-13,2020.0,1.0,1.0,4635.04,762.89,113.72,121.17,37.3,226.26,935.91,1300.33,1792.59,432.97,15.33,6857.03,4585.11,7766.72,425.15,505.71,3781.82,2121.5,1,1,1,1,1,1,2,1,0,0,2
48.0,64.0,11.0,0.0,38554.0,47186.0,708.0,0.0,8165.0,0.0,0.0,2020.0,0.0,1.0,1.0,1632.53,389.03,34.79,192.34,0.0,0.0,2416.26,1188.39,2767.58,923.81,0.0,149.81,1923.44,11530.64,962.79,0.0,6962.52,1856.71,1,0,0,0,0,0,0,1,1,0,2
22.0,64.0,3.0,0.0,49190.0,122458.0,630.0,4000.0,0.0,0.0,2020.0,2.2737367544323206e-13,0.0,1.0,1.0,2033.42,1426.5,186.89,570.8,433.82,728.3,1014.3,1134.21,3190.34,609.62,345.87,773.65,1783.08,7319.9,385.23,1377.62,4870.3,3128.72,1,2,2,1,1,1,1,0,0,0,2
49.0,68.0,12.0,0.0,41071.0,124139.0,685.0,3900.0,0.0,0.0,2017.0,2.2737367544323206e-13,0.0,0.0,1.0,2909.28,1052.15,494.41,623.51,168.67,871.89,972.73,545.81,3062.32,516.99,34.0,5239.41,1581.56,6067.73,523.3,732.01,4700.67,2993.92,0,1,2,1,1,0,2,0,0,1,2
78.0,63.0,8.0,0.0,23821.0,22427.0,613.0,30000.0,53461.0,61.0,2023.0,2022.0,2024.0,0.0,8.0,1380.71,1795.65,83.18,268.74,49.07,660.81,3895.27,2333.99,3036.66,2027.35,90.9,271.93,272.38,9853.86,868.52,551.25,5286.99,4752.56,2,1,0,1,0,1,1,2,1,3,1
39.0,65.0,4.0,0.0,54273.0,110237.0,789.0,16400.0,61044.0,0.0,2024.0,2024.0,0.0,0.0,4.0,2032.3,5199.89,328.57,0.0,414.22,250.46,879.56,740.15,2779.21,1007.17,0.0,4218.0,3753.82,4369.32,10141.76,229.28,2152.76,2475.51,3,2,3,2,2,0,3,1,1,2,1
68.0,60.0,8.0,0.0,27358.0,13557.0,665.0,2700.0,16113.0,0.0,2021.0,2022.0,0.0,1.0,2.0,3146.1,560.22,113.47,171.93,44.47,450.12,221.3,1685.43,5910.4,1034.82,29.71,395.84,6784.45,13403.32,477.72,226.06,3680.46,2112.48,1,1,0,0,0,1,0,3,0,1,2
23.0,59.0,8.0,0.0,38983.0,96098.0,577.0,0.0,8998.0,0.0,0.0,2020.0,0.0,1.0,1.0,1631.26,861.22,120.45,221.56,339.92,365.44,645.12,1066.05,2204.44,699.39,347.6,7405.83,2126.65,6818.5,1305.76,501.13,11906.13,2086.44,1,1,1,0,0,0,1,1,0,0,2
51.0,65.0,6.0,0.0,45570.0,0.0,712.0,11500.0,41137.0,0.0,2023.0,2020.0,0.0,1.0,3.0,3205.64,1594.42,58.27,751.6,310.21,609.07,1019.66,3167.37,3450.05,604.02,81.04,3477.77,6213.51,8808.54,2131.07,741.12,5385.36,3001.51,2,3,1,1,1,2,2,3,0,1,1
82.0,67.0,9.0,0.0,52315.0,3174.0,695.0,11600.0,39974.0,0.0,2012.0,2023.0,0.0,0.0,4.0,2464.06,145.64,0.0,246.96,340.72,583.73,398.55,198.97,6209.55,1282.23,407.7,8195.72,38.49,3205.53,158.23,0.0,3125.94,1834.18,2,2,1,1,1,1,3,3,0,2,1
77.0,71.0,6.0,0.0,38692.0,8902.0,596.0,16400.0,30002.0,0.0,2020.0,2024.0,0.0,1.0,5.0,4637.2,1151.08,418.56,741.93,240.22,1562.3,1219.12,871.02,8476.29,791.55,183.25,146.55,0.0,23895.28,92.65,722.19,2957.54,3842.54,2,1,1,1,0,1,2,3,0,1,1
