Rev_Total,Bal_Total,Offer,AGE,CHQ,CARD,SAV1,LOAN,MORT,INSUR,PENS,Check,CD,MM,Savings,AccountAge
$0.69,"$18,000.00",0,34,0,0,0,0,1,0,1,1,0,0,0,4
$2.69,"$59,140.00",0,28,1,0,1,0,1,0,1,1,0,0,0,5
$0.15,$3.33,0,30,1,0,1,0,0,1,1,0,0,1,1,5
$1.97,"$1,126.00",0,29,1,0,0,1,0,0,1,0,1,0,0,4
$0.74,"$1,718.28",0,38,1,1,0,1,1,1,0,1,1,1,1,9
$2.76,"$29,902.00",0,44,0,0,0,0,1,0,1,1,0,0,0,3
$1.16,"$26,044.00",0,42,0,0,0,0,1,0,1,1,0,0,0,4
$3.82,"$2,368.15",0,37,1,0,0,1,0,1,1,0,1,1,1,8
$0.55,$30.00,0,40,1,0,1,0,0,1,1,0,0,1,1,4
$1.67,$272.00,0,44,1,0,1,0,0,1,0,0,0,1,1,8
$2.11,"$34,640.00",0,50,1,0,1,0,1,0,0,1,0,0,0,8
$2.43,"$55,196.24",0,50,1,0,0,0,1,1,1,1,0,1,1,8
$1.66,$141.00,0,46,1,0,1,0,0,1,1,0,0,1,1,4
$1.47,"$7,500.00",0,46,1,0,0,0,1,0,0,1,0,0,0,5
$3.25,"$47,000.00",1,30,1,0,0,0,1,0,1,1,0,0,0,6
$1.00,"$25,000.00",0,26,0,0,0,0,1,0,1,1,0,0,0,3
$0.07,$2.85,0,29,0,0,0,0,0,1,1,0,0,1,1,3
$0.18,$111.00,0,40,1,0,0,0,0,1,1,0,0,1,1,4
$1.04,"$61,750.00",0,40,1,0,0,0,1,0,0,1,0,0,0,4
$0.20,$59.40,0,46,1,0,1,0,0,1,1,0,0,1,1,0
$1.04,"$3,045.00",0,24,1,0,0,1,1,0,1,0,1,0,0,3
$0.11,$4.41,0,35,1,0,0,0,0,1,1,0,0,1,1,2
$0.75,$20.00,0,31,0,0,0,0,0,1,1,0,0,1,1,3
$2.33,"$37,037.00",0,36,1,0,0,0,1,0,0,1,0,0,0,8
$0.51,$21.00,0,59,1,0,1,0,0,1,0,0,0,1,1,10
$1.13,$74.00,0,34,1,0,1,0,0,1,1,0,0,1,1,1
$5.21,"$64,206.00",0,33,0,0,0,0,1,0,1,1,0,0,0,7
$0.96,$144.00,0,33,1,0,0,0,0,1,0,0,0,1,1,0
$0.38,"$8,900.00",0,32,1,0,0,0,1,0,1,1,0,0,0,6
$2.16,"$3,042.71",0,31,1,0,0,1,0,1,1,0,1,1,1,7
$4.67,"$40,995.00",0,45,0,0,0,0,1,0,0,1,0,0,0,4
$1.12,"$16,500.00",0,37,1,0,0,0,1,0,0,1,0,0,0,6
$1.08,$186.00,0,40,1,0,0,0,0,1,0,0,0,1,1,0
$0.12,$4.06,1,43,1,0,0,0,0,1,1,0,0,1,1,6
$1.38,"$78,761.00",0,40,1,0,0,0,1,0,1,1,0,0,0,8
$0.60,"$1,577.62",0,38,1,0,1,1,0,1,1,0,1,1,1,10
$0.10,$5.76,1,44,1,0,0,0,0,1,1,0,0,1,1,1
$2.41,"$37,610.00",0,42,1,0,1,0,1,0,0,1,0,0,0,7
$0.17,$45.00,0,44,1,0,0,0,0,1,1,0,0,1,1,3
$4.62,"$67,476.18",1,47,1,0,0,0,1,1,1,1,0,1,1,5
$1.33,"$25,427.00",0,64,1,0,0,0,1,1,1,1,0,1,1,6
$1.19,"$30,082.00",0,54,0,0,0,0,1,1,1,1,0,1,1,5
$1.54,$558.00,0,32,1,0,0,1,0,0,1,0,1,0,0,2
